Week,Category,Price,Spec
5,3,14.49478261,Turbot
6,3,17.44418182,Turbot
7,3,14.81589286,Turbot
8,3,14.75552239,Turbot
9,3,14.79594937,Turbot
10,3,15.71102941,Turbot
11,3,14.42747126,Turbot
12,3,14.15293103,Turbot
13,3,13.68975,Turbot
14,3,12.86824176,Turbot
15,3,12.91177215,Turbot
16,3,12.13389474,Turbot
17,3,10.8153125,Turbot
18,3,11.107,Turbot
19,3,11.33963636,Turbot
20,3,10.46761905,Turbot
21,3,10.59363636,Turbot
22,3,10.81043956,Turbot
23,3,10.12916667,Turbot
24,3,9.943888889,Turbot
25,3,10.03538462,Turbot
26,3,10.25625,Turbot
27,3,10.70758929,Turbot
28,3,10.80552381,Turbot
29,3,12.38290909,Turbot
30,3,13.016,Turbot
31,3,12.91397849,Turbot
32,3,13.06757576,Turbot
33,3,13.53417722,Turbot
34,3,11.77315789,Turbot
35,3,13.18686275,Turbot
36,3,13.18425926,Turbot
37,3,12.1346875,Turbot
38,3,11.99445455,Turbot
39,3,11.90109091,Turbot
40,3,11.74013793,Turbot
41,3,11.2876087,Turbot
42,3,11.37239669,Turbot
43,3,11.86330275,Turbot
44,3,11.49387387,Turbot
45,3,11.52176991,Turbot
46,3,11.62728972,Turbot
47,3,12.95132743,Turbot
48,3,13.51736842,Turbot
49,3,14.69817308,Turbot
50,3,16.60220779,Turbot
51,3,16.06864865,Turbot
52,3,17.04923077,Turbot
0,4,13.95611111,Turbot
1,4,10.07240385,Turbot
2,4,9.657920792,Turbot
3,4,10.07852632,Turbot
4,4,10.7625,Turbot
5,4,11.2298913,Turbot
6,4,13.03605634,Turbot
7,4,12.16714286,Turbot
8,4,11.5944086,Turbot
9,4,12.56816514,Turbot
10,4,12.13486957,Turbot
11,4,12.27144068,Turbot
12,4,11.69660377,Turbot
13,4,11.77583333,Turbot
14,4,11.24539683,Turbot
15,4,11.25935484,Turbot
16,4,10.08451128,Turbot
17,4,9.595384615,Turbot
18,4,9.401446541,Turbot
19,4,9.128266667,Turbot
20,4,9.661707317,Turbot
21,4,8.641575342,Turbot
22,4,9.135819672,Turbot
23,4,8.376814815,Turbot
24,4,7.880204082,Turbot
25,4,7.477448276,Turbot
26,4,8.107832168,Turbot
27,4,7.874807692,Turbot
28,4,8.44537415,Turbot
29,4,9.400933333,Turbot
30,4,9.521769231,Turbot
31,4,9.2716,Turbot
32,4,8.340147059,Turbot
33,4,8.496708861,Turbot
34,4,8.591597938,Turbot
35,4,8.830860927,Turbot
36,4,9.255471698,Turbot
37,4,8.559808917,Turbot
38,4,7.759863946,Turbot
39,4,7.957987013,Turbot
40,4,8.21745098,Turbot
41,4,8.111176471,Turbot
42,4,7.709111111,Turbot
43,4,8.156466165,Turbot
44,4,8.169815951,Turbot
45,4,8.169136691,Turbot
46,4,8.268819876,Turbot
47,4,8.382675159,Turbot
48,4,8.583769231,Turbot
49,4,9.450364964,Turbot
50,4,12.09242424,Turbot
51,4,11.97223881,Turbot
52,4,12.67666667,Turbot
0,5,9.237560976,Turbot
1,5,8.140833333,Turbot
2,5,7.864123711,Turbot
3,5,8.145765766,Turbot
4,5,8.64184466,Turbot
5,5,9.650222222,Turbot
6,5,10.56511364,Turbot
7,5,9.500625,Turbot
8,5,9.727545455,Turbot
9,5,9.939897959,Turbot
10,5,9.971086957,Turbot
11,5,9.494367816,Turbot
12,5,9.6395,Turbot
13,5,9.923203883,Turbot
14,5,9.211909091,Turbot
15,5,9.455982906,Turbot
16,5,8.139649123,Turbot
17,5,8.085491803,Turbot
18,5,7.912307692,Turbot
19,5,7.874322581,Turbot
20,5,7.68516129,Turbot
21,5,7.38464,Turbot
22,5,7.186938776,Turbot
23,5,6.888456376,Turbot
24,5,6.494899329,Turbot
25,5,6.038356164,Turbot
26,5,6.49775641,Turbot
27,5,6.949602649,Turbot
28,5,6.997449664,Turbot
29,5,7.792389381,Turbot
30,5,7.535703125,Turbot
31,5,7.456944444,Turbot
32,5,6.938474576,Turbot
33,5,6.295939394,Turbot
34,5,6.395283019,Turbot
35,5,6.719939024,Turbot
36,5,6.541081081,Turbot
37,5,6.570604027,Turbot
38,5,6.63928,Turbot
39,5,6.507621951,Turbot
40,5,6.550671642,Turbot
41,5,6.651973684,Turbot
42,5,6.340909091,Turbot
43,5,7.455467626,Turbot
44,5,6.670774194,Turbot
45,5,6.514846154,Turbot
46,5,6.78,Turbot
47,5,7.046363636,Turbot
48,5,7.009776119,Turbot
49,5,7.999158879,Turbot
50,5,9.767428571,Turbot
51,5,9.941346154,Turbot
52,5,10.53954545,Turbot
0,6,4.204705882,Turbot
1,6,4.611354167,Turbot
2,6,5.032307692,Turbot
3,6,4.590240964,Turbot
4,6,4.996363636,Turbot
5,6,5.221052632,Turbot
6,6,5.460526316,Turbot
7,6,5.625824176,Turbot
8,6,5.888088235,Turbot
9,6,5.571444444,Turbot
